From,To,Start,Stop,Status,Duration,Filesize
EBI,BILS,1456964845.98725,1456965299.37952,0,453.392,10485760000
EBI,BILS,1456965633.49146,1456966114.06066,0,480.569,10485760000
EBI,BILS,1456966435.88625,1456966897.89451,0,462.008,10485760000
EBI,BILS,1456967236.17243,1456967697.61713,0,461.444,10485760000
EBI,BILS,1456968018.77714,1456968541.1031,0,522.325,10485760000
EBI,BILS,1456968886.95537,1456969353.90786,0,466.952,10485760000
EBI,BILS,1456969680.97577,1456970119.49794,0,438.522,10485760000
EBI,BILS,1456970445.27795,1456970904.53967,0,459.261,10485760000
EBI,BILS,1456971229.12239,1456971690.42059,0,461.298,10485760000
EBI,BILS,1456972034.96567,1456972498.85094,0,463.885,10485760000
EBI,BILS,1456972836.58911,1456973292.79462,0,456.205,10485760000
EBI,BILS,1456973623.60793,1456974065.63863,0,442.03,10485760000
EBI,BILS,1456974391.92448,1456974829.93941,0,438.014,10485760000
EBI,BILS,1456975178.36923,1456975629.94446,0,451.575,10485760000
EBI,BILS,1456975957.83716,1456976389.74599,0,431.908,10485760000
EBI,BILS,1456976735.3671,1456977180.71001,0,445.342,10485760000
EBI,BILS,1456977505.98465,1456977959.05403,0,453.069,10485760000
EBI,BILS,1456978301.90064,1456978705.99923,0,404.098,10485760000
EBI,BILS,1456979033.93042,1456979510.68379,0,476.753,10485760000
EBI,BILS,1456979830.58222,1456980297.13838,0,466.556,10485760000
EBI,BILS,1457000719.08277,1457000773.95639,0,54.873,1048576000
EBI,BILS,1457000844.95526,1457000874.81568,0,29.86,1048576000
EBI,BILS,1457000948.09196,1457000969.39602,0,21.304,1048576000
EBI,BILS,1457001042.85728,1457001078.72922,0,35.871,1048576000
EBI,BILS,1457001148.30419,1457001191.75662,0,43.452,1048576000
EBI,BILS,1457001264.13013,1457001303.61711,0,39.486,1048576000
EBI,BILS,1457001373.77456,1457001395.96893,0,22.194,1048576000
EBI,BILS,1457001467.41057,1457001512.77461,0,45.364,1048576000
